Player,Role,Amount,Team,Year,Player Origin
Riyan Parag,All-Rounder,2000000,Rajasthan Royals,2019,Indian
Riyan Parag,All-Rounder,38000000,Rajasthan Royals,2022,Indian
Robin Uthappa,Batsman,50000000,Kolkata Knight Riders,2014,Indian
Robin Uthappa,Batsman,64000000,Kolkata Knight Riders,2018,Indian
Robin Uthappa,Batsman,30000000,Rajasthan Royals,2020,Indian
Robin Uthappa,Batsman,20000000,Chennai Super Kings,2022,Indian
Romario Shepherd,All-Rounder,77500000,Sunrisers Hyderabad,2022,Overseas
Ronit More,Bowler,1000000,Chennai Super Kings,2014,Indian
Ross Taylor,Batsman,20000000,Delhi Daredevils,2014,Overseas
Rovman Powell,All-Rounder,3000000,Kolkata Knight Riders,2017,Overseas
Rovman Powell,Batsman,28000000,Delhi Capitals,2022,Overseas
Rudra Pratap Singh,Bowler,30000000,Royal Challengers Bangalore,2013,Indian
Rudra Pratap Singh,Bowler,3000000,Rising Pune Supergiant,2016,Indian
Ruturaj Gaikwad,Batsman,2000000,Chennai Super Kings,2019,Indian
Ryan McLaren,Bowler,3750000,Kolkata Knight Riders,2013,Overseas
Ryan Ten Doeschate,All-Rounder,10000000,Kolkata Knight Riders,2014,Overseas
Sachin Baby,Batsman,1000000,Royal Challengers Bangalore,2016,Indian
Sachin Baby,Batsman,2000000,Sunrisers Hyderabad,2018,Indian
Sachin Baby,Batsman,2000000,Royal Challengers Bangalore,2021,Indian
Sachin Rana,Bowler,2000000,Royal Challengers Bangalore,2014,Indian
Sachithra Senanayaka,All-Rounder,46875000,Kolkata Knight Riders,2013,Overseas
Sagar Trivedi,All-Rounder,1000000,Rajasthan Royals,2015,Indian
Sam Billings,Wicket Keeper,3000000,Delhi Daredevils,2016,Overseas
Sam Billings,Wicket Keeper,10000000,Chennai Super Kings,2018,Overseas
Sam Billings,Wicket Keeper,20000000,Delhi Capitals,2021,Overseas
Sam Billings,Wicket Keeper,20000000,Kolkata Knight Riders,2022,Overseas
Sam Curran,All-Rounder,72000000,Kings XI Punjab,2019,Overseas
Sam Curran,All-Rounder,55000000,Chennai Super Kings,2020,Overseas
Samuel Badree,Bowler,3000000,Chennai Super Kings,2014,Overseas
Samuel Badree,Bowler,5000000,Royal Challengers Bangalore,2016,Overseas
Sandeep Bavanaka,All-Rounder,2000000,Sunrisers Hyderabad,2020,Overseas
Sandeep Lamichhane,Bowler,2000000,Delhi Daredevils,2018,Overseas
Sandeep Sharma,Bowler,8500000,Kings XI Punjab,2014,Indian
Sandeep Sharma,Bowler,30000000,Sunrisers Hyderabad,2018,Indian
Sandeep Sharma,Bowler,5000000,Punjab Kings,2022,Indian
Sandeep Warrier,Bowler,1000000,Royal Challengers Bangalore,2014,Indian
Sanjay Yadav,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian
Sanjay Yadav,All-Rounder,5000000,Mumbai Indians,2022,Indian
Sanju Samson,Wicket Keeper,42000000,Delhi Daredevils,2016,Indian
Sanju Samson,Wicket Keeper,80000000,Rajasthan Royals,2018,Indian
Sarabjit Ladda,Bowler,1000000,Gujarat Lions,2016,Indian
Sarfaraz Khan,All-Rounder,2000000,Delhi Capitals,2022,Indian
Sarfaraz Naushad Khan,Batsman,5000000,Royal Challengers Bangalore,2015,Indian
Sarfaraz Naushad Khan,All-Rounder,2500000,Kings XI Punjab,2019,Indian
Saurabh Dubey,Bowler,2000000,Sunrisers Hyderabad,2022,Indian
Saurabh Kumar,Bowler,1000000,Rising Pune Supergiant,2017,Indian
Saurabh Kumar,All-Rounder,2000000,Punjab Kings,2021,Indian
Saurabh Tiwary,Batsman,7000000,Delhi Daredevils,2014,Indian
Saurabh Tiwary,Batsman,3000000,Mumbai Indians,2017,Indian
Saurabh Tiwary,Batsman,8000000,Mumbai Indians,2018,Indian
Saurabh Tiwary,Batsman,5000000,Mumbai Indians,2020,Indian
Sayan Ghosh,Bowler,1000000,Kolkata Knight Riders,2017,Indian
Sayan Ghosh,Bowler,2000000,Delhi Daredevils,2018,Indian
Sayan Sekhar Mandal,All-Rounder,1000000,Kolkata Knight Riders,2014,Indian
Scott Boland,Bowler,5000000,Rising Pune Supergiant,2016,Overseas
Sean Abbott,Bowler,10000000,Royal Challengers Bangalore,2015,Overseas
Sean Abbott,Bowler,24000000,Sunrisers Hyderabad,2022,Overseas
Shadab Jakati,Bowler,2000000,Royal Challengers Bangalore,2014,Indian
Shadab Jakati,All-Rounder,2000000,Gujarat Lions,2016,Indian
Shahbaz Ahamad,Wicket Keeper,2000000,Royal Challengers Bangalore,2020,Indian
Shahbaz Ahamad,All-Rounder,24000000,Royal Challengers Bangalore,2022,Indian
Shahbaz Nadeem,Bowler,8500000,Delhi Daredevils,2014,Indian
Shahbaz Nadeem,Bowler,32000000,Delhi Daredevils,2018,Indian
Shahbaz Nadeem,Bowler,5000000,Lucknow Super Giants,2022,Indian
Shahrukh Khan,All-Rounder,52500000,Punjab Kings,2021,Indian
Shahrukh Khan,All-Rounder,90000000,Punjab Kings,2022,Indian
Shakib Al Hasan,All-Rounder,28000000,Kolkata Knight Riders,2014,Overseas
Shakib Al Hasan,All-Rounder,20000000,Sunrisers Hyderabad,2018,Overseas
Shakib Al Hasan,All-Rounder,32000000,Kolkata Knight Riders,2021,Overseas
Shane Watson,All-Rounder,95000000,Royal Challengers Bangalore,2016,Overseas
Shane Watson,All-Rounder,40000000,Chennai Super Kings,2018,Overseas
Sharad Lumba,Batsman,2000000,Mumbai Indians,2018,Indian
Shardul Thakur,Bowler,2000000,Kings XI Punjab,2014,Indian
Shardul Thakur,Bowler,26000000,Chennai Super Kings,2018,Indian
Shardul Thakur,Bowler,107500000,Delhi Capitals,2022,Indian
Shashank Singh,All-Rounder,1000000,Delhi Daredevils,2017,Indian
Shashank Singh,All-Rounder,3000000,Rajasthan Royals,2019,Indian
Shashank Singh,All-Rounder,2000000,Sunrisers Hyderabad,2022,Indian
Shaun Marsh,Batsman,22000000,Kings XI Punjab,2014,Overseas
Sheldon Cottrell,Bowler,85000000,Kings XI Punjab,2020,Overseas
Sheldon Jackson,Batsman,1500000,Kolkata Knight Riders,2015,Indian
Sheldon Jackson,Wicket Keeper,2000000,Kolkata Knight Riders,2021,Indian
Sheldon Jackson,Wicket Keeper,6000000,Kolkata Knight Riders,2022,Indian
Shelley Shaurya,Bowler,1000000,Gujarat Lions,2017,Indian
Sherfane Rutherford,All-Rounder,20000000,Delhi Capitals,2019,Overseas
Sherfane Rutherford,All-Rounder,10000000,Royal Challengers Bangalore,2022,Overseas
Shikhar Dhawan,Batsman,52000000,Sunrisers Hyderabad,2018,Indian
Shikhar Dhawan,Batsman,82500000,Punjab Kings,2022,Indian
Shimron Hetmyer,Batsman,42000000,Royal Challengers Bangalore,2019,Overseas
Shimron Hetmyer,Batsman,77500000,Delhi Capitals,2020,Overseas
Shimron Hetmyer,Batsman,85000000,Rajasthan Royals,2022,Overseas
Shishir Bhavane,Batsman,1000000,Royal Challengers Bangalore,2015,Indian
Shivam Dube,All-Rounder,50000000,Royal Challengers Bangalore,2019,Indian
Shivam Dube,All-Rounder,44000000,Rajasthan Royals,2021,Indian
Shivam Dube,All-Rounder,40000000,Chennai Super Kings,2022,Indian
Shivam Mavi,All-Rounder,30000000,Kolkata Knight Riders,2018,Indian
Shivam Mavi,All-Rounder,72500000,Kolkata Knight Riders,2022,Indian
Shivam Sharma,Bowler,1000000,Kings XI Punjab,2014,Indian
Shivil Kaushik,Bowler,1000000,Gujarat Lions,2016,Indian
Shreevats Goswami,Wicket Keeper,10000000,Sunrisers Hyderabad,2018,Indian
Shreyas Gopal,Bowler,1000000,Mumbai Indians,2014,Indian
Shreyas Gopal,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Shreyas Gopal,Bowler,7500000,Sunrisers Hyderabad,2022,Indian
Shreyas Iyer,Batsman,26000000,Delhi Daredevils,2015,Indian
Shreyas Iyer,Batsman,122500000,Kolkata Knight Riders,2022,Indian
Shrikant Mundhe,All-Rounder,2000000,Kolkata Knight Riders,2019,Indian
Shubam Agrawal,All-Rounder,1000000,Gujarat Lions,2017,Indian
Shubham Garhwal,All-Rounder,2000000,Rajasthan Royals,2022,Indian
Shubham Ranjane,All-Rounder,2000000,Rajasthan Royals,2019,Indian
Shubman Gill,Batsman,18000000,Kolkata Knight Riders,2018,Indian
Siddarth Kaul,Bowler,4500000,Delhi Daredevils,2014,Indian
Siddarth Kaul,Bowler,1000000,Sunrisers Hyderabad,2015,Indian
Siddarth Kaul,Bowler,38000000,Sunrisers Hyderabad,2018,Indian
Siddharth Kaul,Bowler,7500000,Royal Challengers Bangalore,2022,Indian
Siddhesh Dinesh Lad,All-Rounder,1000000,Mumbai Indians,2015,Indian
Siddhesh Dinesh Lad,Batsman,2000000,Mumbai Indians,2018,Indian
Simarjeet Singh,Bowler,2000000,Chennai Super Kings,2022,Indian
Srikkanth Anirudha,Batsman,2000000,Sunrisers Hyderabad,2014,Indian
Steven Smith,All-Rounder,40000000,Rajasthan Royals,2014,Overseas
Steven Smith,Batsman,22000000,Delhi Capitals,2021,Overseas
Stuart Binny,All-Rounder,20000000,Royal Challengers Bangalore,2016,Indian
Stuart Binny,All-Rounder,5000000,Rajasthan Royals,2018,Indian
Subhranshu Senapati,Batsman,2000000,Chennai Super Kings,2022,Indian
Subramaniam Badrinath,Batsman,3000000,Royal Challengers Bangalore,2015,Indian
Sudeep Tyagi,Bowler,7500000,Sunrisers Hyderabad,2013,Indian
Sumit Narwal,All-Rounder,1000000,Kolkata Knight Riders,2015,Indian
Suryakumar Yadav,Batsman,7000000,Kolkata Knight Riders,2014,Indian
Suryakumar Yadav,Batsman,32000000,Mumbai Indians,2018,Indian
Sushant Marathe,Wicket Keeper,1000000,Mumbai Indians,2014,Indian
Suyash Prabhudesai,All-Rounder,2000000,Royal Challengers Bangalore,2021,Indian
Suyash Prabhudessai,All-Rounder,3000000,Royal Challengers Bangalore,2022,Indian
Swapnil Singh,All-Rounder,1000000,Kings XI Punjab,2016,Indian
Syed Khaleel Ahmed,All-Rounder,1000000,Delhi Daredevils,2016,Indian
Syed Khaleel Ahmed,Bowler,30000000,Sunrisers Hyderabad,2018,Indian
Syed Khaleel Ahmed,Bowler,52500000,Delhi Capitals,2022,Indian
Syed Mehdi Hasan,All-Rounder,2000000,Sunrisers Hyderabad,2018,Indian
T Natarajan,Bowler,30000000,Kings XI Punjab,2017,Indian
T Natarajan,Bowler,4000000,Sunrisers Hyderabad,2018,Indian
T. Natarajan,Bowler,40000000,Sunrisers Hyderabad,2022,Indian
Tajinder Dhillon,All-Rounder,5500000,Mumbai Indians,2018,Indian
Tajinder Dhillon,All-Rounder,2000000,Kings XI Punjab,2020,Indian
Tanmay Agarwal,Batsman,1000000,Sunrisers Hyderabad,2017,Indian
Tanmay Agarwal,Batsman,2000000,Sunrisers Hyderabad,2018,Indian
Tanmay Mishra,Batsman,1000000,Royal Challengers Bangalore,2014,Indian
Tejas Baroka,Bowler,2000000,Rajasthan Royals,2022,Indian
Tejas Singh Baroka,Bowler,1000000,Gujarat Lions,2017,Indian
Thisara Perera,All-Rounder,50625000,Sunrisers Hyderabad,2013,Overseas
Thisara Perera,All-Rounder,16000000,Kings XI Punjab,2014,Overseas
Thisara Perera,All-Rounder,10000000,Rising Pune Supergiant,2016,Overseas
Tim David,All-Rounder,82500000,Mumbai Indians,2022,Overseas
Tim Seifert,Wicket Keeper,5000000,Delhi Capitals,2022,Overseas
Tim Southee,Bowler,12000000,Rajasthan Royals,2014,Overseas
Tim Southee,Bowler,25000000,Mumbai Indians,2016,Overseas
Tim Southee,Bowler,10000000,Royal Challengers Bangalore,2018,Overseas
Tim Southee,Bowler,15000000,Kolkata Knight Riders,2022,Overseas
Tirumalasetti Suman,Batsman,1000000,Sunrisers Hyderabad,2016,Indian
Tom Banton,Batsman,10000000,Kolkata Knight Riders,2020,Overseas
Tom Curran,All-Rounder,10000000,Rajasthan Royals,2020,Overseas
Tom Curran,All-Rounder,52500000,Delhi Capitals,2021,Overseas
Travis Head,Batsman,3000000,Delhi Daredevils,2015,Overseas
Travis Head,Batsman,5000000,Royal Challengers Bangalore,2016,Overseas
Trent Boult,Bowler,38000000,Sunrisers Hyderabad,2015,Overseas
Trent Boult,Bowler,50000000,Kolkata Knight Riders,2017,Overseas
Trent Boult,Bowler,22000000,Delhi Daredevils,2018,Overseas
Trent Boult,Bowler,80000000,Rajasthan Royals,2022,Overseas
Tushar Deshpande,Bowler,2000000,Delhi Capitals,2020,Indian
Tushar Deshpande,Bowler,2000000,Chennai Super Kings,2022,Indian
Tymal Mills,Bowler,120000000,Royal Challengers Bangalore,2017,Overseas
Tymal Mills,Bowler,15000000,Mumbai Indians,2022,Overseas
Umang Sharma,Batsman,1000000,Gujarat Lions,2016,Indian
Umesh Yadav,Bowler,26000000,Kolkata Knight Riders,2014,Indian
Umesh Yadav,Bowler,42000000,Royal Challengers Bangalore,2018,Indian
Umesh Yadav,Bowler,10000000,Delhi Capitals,2021,Indian
Umesh Yadav,Bowler,20000000,Kolkata Knight Riders,2022,Indian
Unmukt Chand,Batsman,6500000,Rajasthan Royals,2014,Indian
Utkarsh Singh,All-Rounder,2000000,Punjab Kings,2021,Indian
Vaibhav Arora,Bowler,2000000,Kolkata Knight Riders,2021,Indian
Vaibhav Arora,Bowler,20000000,Punjab Kings,2022,Indian
Vaibhav Rawal,All-Rounder,1000000,Kolkata Knight Riders,2015,Indian
Varun Aaron,Bowler,20000000,Royal Challengers Bangalore,2014,Indian
Varun Aaron,Bowler,28000000,Kings XI Punjab,2017,Indian
Varun Aaron,Bowler,24000000,Rajasthan Royals,2019,Indian
Varun Aaron,Bowler,5000000,Gujarat Titans,2022,Indian
Varun Chakaravarthy,All-Rounder,84000000,Kings XI Punjab,2019,Indian
Varun Chakaravarthy,All-Rounder,40000000,Kolkata Knight Riders,2020,Indian
Veer Pratap Singh,Bowler,4000000,Kolkata Knight Riders,2014,Indian
Venkatesh Iyer,All-Rounder,2000000,Kolkata Knight Riders,2021,Indian
Venugopal Rao,Batsman,5500000,Sunrisers Hyderabad,2014,Indian
Vicky Ostwal,All-Rounder,2000000,Delhi Capitals,2022,Indian
Vijay Shankar,All-Rounder,1000000,Chennai Super Kings,2014,Indian
Vijay Shankar,All-Rounder,3500000,Sunrisers Hyderabad,2016,Indian
Vijay Shankar,All-Rounder,32000000,Delhi Daredevils,2018,Indian
Vijay Shankar,All-Rounder,14000000,Gujarat Titans,2022,Indian
Vijay Zol,Batsman,3000000,Royal Challengers Bangalore,2014,Indian
Vikas Tokas,Bowler,1000000,Royal Challengers Bangalore,2016,Indian
Vikramjeet Malik,Bowler,2000000,Rajasthan Royals,2014,Indian
Vikramjeet Malik,Bowler,2000000,Royal Challengers Bangalore,2016,Indian
Virat Singh,Batsman,19000000,Sunrisers Hyderabad,2020,Indian
Virender Sehwag,Batsman,32000000,Kings XI Punjab,2014,Indian
Vishnu Vinod,Wicket Keeper,2000000,Delhi Capitals,2021,Indian
Vishnu Vinod,Wicket Keeper,5000000,Sunrisers Hyderabad,2022,Indian
Wanindu Hasaranga,All-Rounder,107500000,Royal Challengers Bangalore,2022,Overseas
Washington Sundar,All-Rounder,87500000,Sunrisers Hyderabad,2022,Indian
Wayne Parnell,Bowler,10000000,Delhi Daredevils,2014,Overseas
Wriddhiman Saha,Wicket Keeper,22000000,Kings XI Punjab,2014,Indian
Wriddhiman Saha,Wicket Keeper,50000000,Sunrisers Hyderabad,2018,Indian
Wriddhiman Saha,Wicket Keeper,12000000,Sunrisers Hyderabad,2019,Indian
Wriddhiman Saha,Wicket Keeper,19000000,Gujarat Titans,2022,Indian
Writtick Chatterjee,All-Rounder,2000000,Punjab Kings,2022,Indian
Yash Dayal,Bowler,32000000,Gujarat Titans,2022,Indian
Yash Dhull,All-Rounder,5000000,Delhi Capitals,2022,Indian
Yashasvi Jaiswal,All-Rounder,24000000,Rajasthan Royals,2020,Indian
Yogesh Gowalkar,All-Rounder,1000000,Kings XI Punjab,2015,Indian
Yogesh Takawale,Wicket Keeper,1000000,Royal Challengers Bangalore,2014,Indian
Yudhvir Charak,All-Rounder,2000000,Mumbai Indians,2021,Indian
Yusuf Pathan,All-Rounder,32500000,Kolkata Knight Riders,2014,Indian
Yusuf Pathan,All-Rounder,19000000,Sunrisers Hyderabad,2018,Indian
Yuvraj Singh,All-Rounder,140000000,Royal Challengers Bangalore,2014,Indian
Yuvraj Singh,Batsman,160000000,Delhi Daredevils,2015,Indian
Yuvraj Singh,All-Rounder,70000000,Sunrisers Hyderabad,2016,Indian
Yuvraj Singh,All-Rounder,20000000,Kings XI Punjab,2018,Indian
Yuvraj Singh,All-Rounder,10000000,Mumbai Indians,2019,Indian
Yuzvendra Chahal,Bowler,65000000,Rajasthan Royals,2022,Indian
Yuzvendra Singh Chahal,Bowler,1000000,Royal Challengers Bangalore,2014,Indian
Yuzvendra Singh Chahal,Bowler,60000000,Royal Challengers Bangalore,2018,Indian
Zaheer Khan,Bowler,26000000,Mumbai Indians,2014,Indian
Zaheer Khan,Bowler,40000000,Delhi Daredevils,2015,Indian
Zahir Khan Pakteen,Bowler,6000000,Rajasthan Royals,2018,Indian
